All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
219,22_23,19,11,Slalom Speciale,6,3,1,01:51:25,-0.16,Finlandia,Levi,630,100,68,25
218,21_22,20,3,Slalom Gigante,2,1,7,02:15:35,0.67,Francia,Meribel,1900,36,46,6
217,21_22,19,3,Slalom Speciale,4,5,8,01:38:02,1,Francia,Meribel,2100,32,46,6
216,21_22,17,3,SuperG,11,NA,2,01:14:08,0.05,Francia,Courchevel,2500,80,45,6
215,21_22,16,3,Discesa Libera,21,NA,1,01:27:00,-0.1,Francia,Courchevel,2300,100,45,6
214,21_22,12,3,Slalom Speciale,2,4,9,01:47:28,0.8,Svezia,Are,630,29,63,13
213,21_22,11,3,Slalom Gigante,3,6,3,02:34:20,1.7,Svezia,Are,730,60,63,13
212,21_22,6,3,Slalom Gigante,2,2,4,02:03:12,0.77,Svizzera,Lenzerheide,2300,50,47,10
211,21_22,5,3,SuperG,15,NA,2,01:20:26,0.38,Svizzera,Lenzerheide,2400,80,47,10
210,21_22,25,1,Slalom Gigante,4,3,5,02:04:44,0.81,Italia,Kronplatz,2275,45,47,12
209,21_22,23,1,SuperG,17,NA,16,1;21:99,1.01,Italia,Cortina,2175,14,44,12
208,21_22,11,1,Slalom Speciale,2,5,1,01:33:06,-0.15,Austria,Schladming,950,100,47,14
207,21_22,9,1,Slalom Speciale,7,3,40,NA,NA,Slovenia,Kranjska Gora,1120,0,46,14
206,21_22,8,1,Slalom Gigante,3,14,7,02:16:24,2.05,Slovenia,Kranjska Gora,1100,36,46,14
205,21_22,4,1,Slalom Speciale,7,2,2,01:57:40,0.5,Croazia,Zagabria,860,80,46,16
204,21_22,22,12,Slalom Gigante,5,3,2,02:13:38,0.35,Francia,Courchevel,2250,80,45,6
203,21_22,21,12,Slalom Gigante,5,1,1,02:15:35,-0.86,Francia,Courchevel,2400,80,45,6
202,21_22,19,12,SuperG,15,NA,5,01:20:38,0.75,Francia,Val d'Isere,2747,45,45,7
201,21_22,12,12,SuperG,2,NA,3,10:24:00,0.43,Svizzera,Sankt Moritz,2840,60,46,10
200,21_22,11,12,SuperG,8,NA,3,01:21:00,1.18,Svizzera,Sankt Moritz,2930,60,46,10
199,21_22,5,12,SuperG,18,NA,6,01:19:26,0.58,Canada,Lake Louise,2225,40,51,-116
198,21_22,4,12,Discesa Libera,31,NA,38,01:52:22,3.44,Canada,Lake Louise,2275,0,51,-116
197,21_22,3,12,Discesa Libera,31,NA,26,01:50:55,3.6,Canada,Lake Louise,2340,5,51,-116
196,21_22,28,11,Slalom Speciale,5,2,1,01:38:33,-0.75,Stati Uniti,Killington,1300,100,44,-72
195,21_22,21,11,Slalom Speciale,1,2,2,01:46:09,0.47,Finlandia,Levi,630,80,68,25
194,21_22,20,11,Slalom Speciale,3,2,2,01:46:50,0.31,Finlandia,Levi,580,80,68,25
193,21_22,23,10,Slalom Gigante,1,2,1,02:07:22,-0.13,Austria,Solden,3048,100,47,11
192,20_21,21,3,Slalom Gigante,3,1,2,02:20:16,0.56,Svizzera,Lenzerheide,2300,80,47,10
191,20_21,20,3,Slalom Speciale,4,3,2,01:51:01,0.34,Svizzera,Lenzerheide,1474,80,47,10
190,20_21,13,3,Slalom Speciale,2,1,2,01:49:05,1.28,Svezia,Are,630,80,63,13
189,20_21,12,3,Slalom Speciale,5,2,3,01:46:20,0.64,Svezia,Are,750,60,63,13
188,20_21,6,3,Slalom Gigante,2,1,3,02:17:03,0.47,Slovacchia,Jasna,1500,60,49,19
187,20_21,6,3,Slalom Speciale,6,2,1,01:44:28,-0.3,Slovacchia,Jasna,1250,100,49,19
186,20_21,26,1,Slalom Gigante,4,2,4,02:12:46,1.08,Italia,Kronplatz,2300,50,47,12
185,20_21,17,1,Slalom Gigante,1,1,6,02:19:33,1.26,Slovenia,Kranjska Gora,1200,40,46,14
184,20_21,16,1,Slalom Gigante,7,4,6,02:14:08,2.18,Sloveniza,Kranjska Gora,1100,40,46,14
183,20_21,12,1,Slalom Speciale,5,2,1,01:48:32,-0.19,Austria,Flachau,1125,100,47,13
182,20_21,3,1,Slalom Speciale,5,4,4,01:59:35,0.22,Croazia,Zagabria,860,50,46,16
181,20_21,29,12,Slalom Speciale,6,1,3,01:43:02,0.58,Austria,Semmering,1200,60,47,16
180,20_21,14,12,Slalom Gigante,3,1,1,02:20:03,-0.83,Francia,Courchevel,2400,100,45,6
179,20_21,12,12,Slalom Gigante,2,2,4,02:21:13,1.7,Francia,Courchevel,2300,50,45,6
178,20_21,22,11,Slalom Speciale,4,4,5,01:50:38,0.93,Finlandia,Levi,580,45,68,25
177,20_21,21,11,Slalom Speciale,1,2,2,01:50:29,0.28,Finlandia,Levi,630,80,68,25
176,19_20,26,1,SuperG,13,NA,1,01:11:28,-0.29,Bulgaria,Bansko,1750,100,42,23
175,19_20,25,1,Discesa Libera,5,NA,4,01:30:06,0.35,Bulgaria,Bansko,1660,50,42,23
174,19_20,24,1,Discesa Libera,16,NA,1,01:30:19,-0.17,Bulgaria,Bansko,1880,100,42,23
173,19_20,19,1,Slalom Parallelo,NA,NA,9,20:55:00,-1.02,Italia,Sestriere,2300,29,45,7
172,19_20,18,1,Slalom Gigante,7,4,3,02:21:16,0.01,Italia,Sestriere,2400,60,45,7
